Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2015-05-05,208.9,113182500,211.03,211.46,208.73,-0.0114518266136663,0.032420678066622,209.96574500000003,209.025744,209.79838457854493,208.796487781476,0.0063096126142474,0,1,1,-0.0114518266136663,0.015975446570775098
2015-05-06,208.04,135438200,209.56,209.93,206.76,-0.0041168022977501,0.0281704062469125,209.968995,208.950344,209.6309193805883,208.7668215939671,0.0063471021354769,0,2,1,-0.0041168022977501,0.01179287651787475
2015-05-07,208.87,88018400,207.92,209.38,207.52,0.0039896173812727,0.0322724127705855,209.967495,208.895144,209.5584508681513,208.7708678059684,0.0063311479064875,1,0,1,0.0039896173812727,0.01582954296427852
2015-05-08,211.62,156207000,210.88,211.86,210.78,0.0131660841671852,0.0458633982405864,210.046495,208.899944,209.75478888070836,208.88259848024416,0.0068900988231342,2,0,1,0.0131660841671852,0.029204040226459504
2015-05-11,210.605,75465110,211.57,211.89,210.52,-0.0047963330498063,0.0408470890580223,210.122245,208.89884400000005,209.83576136825997,208.95014363788167,0.0069006370426268,0,1,1,-0.0047963330498063,0.02426763487332706
2015-05-12,209.98,119647000,209.61,210.63,208.62,-0.0029676408442345,0.037758228723931,210.146745,208.85864400000003,209.8494983808066,208.99053016188637,0.0069299435006186,0,2,1,-0.0029676408442345,0.021227976404649462
2015-05-13,210.02,94544280,210.47,211.22,209.74,0.0001904943327937,0.0379559157853131,210.126245,208.836644,209.8657366302536,209.0309015280869,0.0068542625948416,1,0,1,0.0001904943327937,0.0214225145466449
2015-05-14,212.21,95825920,211.24,212.32,210.91,0.0104275783258738,0.0487792823959685,210.218245,208.876242,210.08899980832467,209.1555720563972,0.0072444662431688,2,0,1,0.0104275783258738,0.032073477820891094
2015-05-15,212.44,76393990,212.44,212.61,211.86,0.0010838320531547,0.0499159829989139,210.442745,208.915842,210.31290458848423,209.2843731522248,0.0066747492199398,3,0,1,0.0010838320531547,0.03319207213736419
2015-05-18,213.1,74382800,212.24,213.4,212.16,0.0031067595556393,0.0531778195117143,210.605245,209.027842,210.57834224672385,209.43400557762772,0.0064235954462041,4,0,1,0.0031067595556393,0.0364019514802878
